aDate;target_name;target_ticker;buyer_name;buyer_ticker
16.05.16;Anacor Pharmaceuticals Inc;ANAC.O^F16;Pfizer Inc;PFE
23.05.16;American Capital Ltd;ACAS.O^A17;Ares Capital Corp;ARCC.O
27.05.16;FEI Co;FEIC.O^I16;Thermo Fisher Scientific Inc;TMO
31.05.16;Great Plains Energy Inc;GXP.N^F18;Westar Energy Inc;WRS^E12
01.06.16;Demandware Inc;DWRE.K^G16;Salesforce.com Inc;CRM
07.06.16;LDR Holding Corp;LDRH.O^G16;Zimmer Biomet Holdings Inc;ZBH
13.06.16;LinkedIn Corp;LNKD.K^L16;Microsoft Corp;MSFT.O
15.06.16;Envision Healthcare Holdings Inc;EVHC.K^L16;AmSurg Corp;AMSG.O^L16
15.06.16;QLogic Corp;QLGC.O^H16;Cavium Inc;CAVMn.BCU
21.06.16;SolarCity Corp;SCTY.O^K16;Tesla Motors Inc;TSLA.O
29.06.16;Diamond Resorts International Inc;DRII.K^I16;Apollo Global Management LLC;APO
18.07.16;InterOil Corp;IOC^B17;Exxon Mobil Corp;XOM
25.07.16;Outerwall Inc;OUTR.O^I16;Apollo Global Management LLC;APO
26.07.16;Linear Technology Corp;LLTC.O^C17;Analog Devices Inc;ADI.O
28.07.16;NetSuite Inc;N^K16;Oracle Corp;ORCL.K
08.08.16;Whistler Blackcomb Holdings Inc;WB.TO^J16;Vail Resorts Inc;MTN
15.08.16;Post Properties Inc;PPS^L16;Mid-America Apartment Communities Inc;MAA
16.08.16;G&K Services Inc;GK.O^C17;Cintas Corp;CTAS.O
18.08.16;Cardinal Financial Corp;CFNL.O^D17;United Bankshares Inc;UBSI.O
22.08.16;Medivation Inc;MDVN.O^I16;Pfizer Inc;PFE
06.09.16;Cepheid Inc;CPHD.O^K16;Danaher Corp;DHR
22.09.16;WCI Communities Inc;WCIC.K^B17;Lennar Corp;LEN
22.10.16;Time Warner Inc;TWX^F18;AT&T Inc;T
31.10.16;Team Health Holdings Inc;TMH^B17;Blackstone Group LP;BX_w^J15
03.11.16;Metaldyne Performance Group Inc;MPG^D17;American Axle & Manufacturing Holdings Inc;AXL
10.11.16;TubeMogul Inc;TUBE.O^L16;Adobe Systems Inc;ADBE.O
14.11.16;Equity One Inc;EQY.N^C17;Regency Centers Corp;REG.O
17.11.16;Universal American Corp;UAM^D17;WellCare Health Plans Inc;WCG^A20
17.11.16;Western Refining Inc;WNR.N^F17;Tesoro Corp;TSO_pa^F01
17.11.16;Cascade Bancorp,Bend,Oregon;CACB.O^E17;First Interstate BancSystem Inc;FIBK.O
21.11.16;Applied Micro Circuits Corp;AMCC.O^A17;MACOM Technology Solutions Holdings Inc;MTSI.O
01.12.16;CLARCOR Inc;CLC^B17;Parker Hannifin Corp;PH
02.12.16;Vascular Solutions Inc;VASC.O^B17;Teleflex Inc;TFX
06.12.16;IntraLinks Holdings Inc;IL^A17;Synchronoss Technologies Inc;SNCR.O
14.12.16;Southwest Bancorp Inc, Stillwater,Oklahoma;OKSB.O^J17;Simmons First National Corp;SFNC.O
05.01.17;CEB Inc;CEB^D17;Gartner Inc;IT
09.01.17;Pacific Continental Corp;PCBK.O^K17;Columbia Banking System Inc;COLB.O
16.01.17;Clayton Williams Energy Inc;CWEI.K^D17;Noble Energy Inc;NBL.O^J20
